academic_year,application_stage,gender_group,count,percent_of_stage_total,source_table
2009-2010,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2010-2011,Matriculants,All,18665,100.0,FACTS Chart 3
2010-2011,Matriculants,Men,9909,53.09,FACTS Chart 3
2010-2011,Matriculants,Women,8756,46.91,FACTS Chart 3
2010-2011,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2011-2012,Matriculants,All,19230,100.0,FACTS Chart 3
2011-2012,Matriculants,Men,10193,53.01,FACTS Chart 3
2011-2012,Matriculants,Women,9037,46.99,FACTS Chart 3
2011-2012,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2012-2013,Matriculants,All,19517,100.0,FACTS Chart 3
2012-2013,Matriculants,Men,10453,53.56,FACTS Chart 3
2012-2013,Matriculants,Women,9064,46.44,FACTS Chart 3
2012-2013,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2013-2014,Matriculants,All,20055,100.0,FACTS Chart 3
2013-2014,Matriculants,Men,10588,52.79,FACTS Chart 3
2013-2014,Matriculants,Women,9467,47.21,FACTS Chart 3
2013-2014,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2014-2015,Matriculants,All,20343,100.0,FACTS Chart 3
2014-2015,Matriculants,Men,10625,52.23,FACTS Chart 3
2014-2015,Matriculants,Women,9718,47.77,FACTS Chart 3
2014-2015,Matriculants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 3
2015-2016,Matriculants,All,20631,100.0,FACTS Chart 3
2015-2016,Matriculants,Men,10766,52.18,FACTS Chart 3
2015-2016,Matriculants,Women,9861,47.8,FACTS Chart 3
2015-2016,Matriculants,Another Gender Identity or Not Reported,4,0.02,FACTS Chart 3
2016-2017,Matriculants,All,21030,100.0,FACTS Chart 3
2016-2017,Matriculants,Men,10551,50.17,FACTS Chart 3
2016-2017,Matriculants,Women,10474,49.81,FACTS Chart 3
2016-2017,Matriculants,Another Gender Identity or Not Reported,5,0.02,FACTS Chart 3
2017-2018,Matriculants,All,21338,100.0,FACTS Chart 3
2017-2018,Matriculants,Men,10516,49.28,FACTS Chart 3
2017-2018,Matriculants,Women,10810,50.66,FACTS Chart 3
2017-2018,Matriculants,Another Gender Identity or Not Reported,12,0.06,FACTS Chart 3
2018-2019,Matriculants,All,21622,100.0,FACTS Chart 3
2018-2019,Matriculants,Men,10454,48.35,FACTS Chart 3
2018-2019,Matriculants,Women,11160,51.61,FACTS Chart 3
