application_stage,gender,measure,academic_year,value,source_table
Acceptees,Men,percent,2017-2018,49.2,A-7.2
Acceptees,Men,percent,2018-2019,48.3,A-7.2
Acceptees,Men,percent,2019-2020,47.5,A-7.2
Acceptees,Men,percent,2020-2021,46.1,A-7.2
Acceptees,Men,percent,2021-2022,44.4,A-7.2
Acceptees,Men,percent,2022-2023,44.2,A-7.2
Acceptees,Men,percent,2023-2024,44.2,A-7.2
Acceptees,Men,percent,2024-2025,44.1,A-7.2
Acceptees,Men,percent,2025-2026,44.4,A-7.2
Acceptees,Women,number,2016-2017,10940,A-7.2
Acceptees,Women,number,2017-2018,11287,A-7.2
Acceptees,Women,number,2018-2019,11611,A-7.2
Acceptees,Women,number,2019-2020,11893,A-7.2
Acceptees,Women,number,2020-2021,12417,A-7.2
Acceptees,Women,number,2021-2022,13152,A-7.2
Acceptees,Women,number,2022-2023,13268,A-7.2
Acceptees,Women,number,2023-2024,13298,A-7.2
Acceptees,Women,number,2024-2025,13341,A-7.2
Acceptees,Women,number,2025-2026,13364,A-7.2
Acceptees,Women,percent,2016-2017,49.6,A-7.2
Acceptees,Women,percent,2017-2018,50.7,A-7.2
Acceptees,Women,percent,2018-2019,51.6,A-7.2
Acceptees,Women,percent,2019-2020,52.4,A-7.2
Acceptees,Women,percent,2020-2021,53.7,A-7.2
Acceptees,Women,percent,2021-2022,55.5,A-7.2
Acceptees,Women,percent,2022-2023,55.7,A-7.2
Acceptees,Women,percent,2023-2024,55.4,A-7.2
Acceptees,Women,percent,2024-2025,55.2,A-7.2
Acceptees,Women,percent,2025-2026,55,A-7.2
Acceptees,Another Gender Identity,number,2016-2017,,A-7.2
Acceptees,Another Gender Identity,number,2017-2018,,A-7.2
Acceptees,Another Gender Identity,number,2018-2019,,A-7.2
Acceptees,Another Gender Identity,number,2019-2020,,A-7.2
Acceptees,Another Gender Identity,number,2020-2021,,A-7.2
Acceptees,Another Gender Identity,number,2021-2022,,A-7.2
Acceptees,Another Gender Identity,number,2022-2023,,A-7.2
Acceptees,Another Gender Identity,number,2023-2024,90,A-7.2
Acceptees,Another Gender Identity,number,2024-2025,137,A-7.2
Acceptees,Another Gender Identity,number,2025-2026,112,A-7.2
Acceptees,Another Gender Identity,percent,2016-2017,,A-7.2
Acceptees,Another Gender Identity,percent,2017-2018,,A-7.2
Acceptees,Another Gender Identity,percent,2018-2019,,A-7.2
Acceptees,Another Gender Identity,percent,2019-2020,,A-7.2
Acceptees,Another Gender Identity,percent,2020-2021,,A-7.2
Acceptees,Another Gender Identity,percent,2021-2022,,A-7.2
Acceptees,Another Gender Identity,percent,2022-2023,,A-7.2
Acceptees,Another Gender Identity,percent,2023-2024,0.4,A-7.2
Acceptees,Another Gender Identity,percent,2024-2025,0.6,A-7.2
Acceptees,Another Gender Identity,percent,2025-2026,0.5,A-7.2
Acceptees,Total,number,2016-2017,22036,A-7.2
Acceptees,Total,number,2017-2018,22266,A-7.2
Acceptees,Total,number,2018-2019,22483,A-7.2
Acceptees,Total,number,2019-2020,22687,A-7.2
Acceptees,Total,number,2020-2021,23105,A-7.2
Acceptees,Total,number,2021-2022,23711,A-7.2
Acceptees,Total,number,2022-2023,23810,A-7.2
Acceptees,Total,number,2023-2024,24014,A-7.2
Acceptees,Total,number,2024-2025,24172,A-7.2
Acceptees,Total,number,2025-2026,24300,A-7.2
Matriculants,Men,number,2016-2017,10551,A-7.2
Matriculants,Men,number,2017-2018,10516,A-7.2
Matriculants,Men,number,2018-2019,10454,A-7.2
Matriculants,Men,number,2019-2020,10402,A-7.2
Matriculants,Men,number,2020-2021,10271,A-7.2
Matriculants,Men,number,2021-2022,10057,A-7.2
Matriculants,Men,number,2022-2023,10060,A-7.2
Matriculants,Men,number,2023-2024,10160,A-7.2
Matriculants,Men,number,2024-2025,10261,A-7.2
Matriculants,Men,number,2025-2026,10409,A-7.2
Matriculants,Men,percent,2016-2017,50.2,A-7.2
Matriculants,Men,percent,2017-2018,49.3,A-7.2
Matriculants,Men,percent,2018-2019,48.3,A-7.2
Matriculants,Men,percent,2019-2020,47.6,A-7.2
Matriculants,Men,percent,2020-2021,46.2,A-7.2
Matriculants,Men,percent,2021-2022,44.4,A-7.2
Matriculants,Men,percent,2022-2023,44.3,A-7.2
Matriculants,Men,percent,2023-2024,44.2,A-7.2
Matriculants,Men,percent,2024-2025,44.3,A-7.2
Matriculants,Men,percent,2025-2026,44.4,A-7.2
Matriculants,Women,number,2016-2017,10474,A-7.2
Matriculants,Women,number,2017-2018,10810,A-7.2
Matriculants,Women,number,2018-2019,11160,A-7.2
Matriculants,Women,number,2019-2020,11461,A-7.2
Matriculants,Women,number,2020-2021,11926,A-7.2
Matriculants,Women,number,2021-2022,12590,A-7.2
Matriculants,Women,number,2022-2023,12630,A-7.2
Matriculants,Women,number,2023-2024,12723,A-7.2
Matriculants,Women,number,2024-2025,12749,A-7.2
Matriculants,Women,number,2025-2026,12900,A-7.2
Matriculants,Women,percent,2016-2017,49.8,A-7.2
Matriculants,Women,percent,2017-2018,50.7,A-7.2
Matriculants,Women,percent,2018-2019,51.6,A-7.2
Matriculants,Women,percent,2019-2020,52.4,A-7.2
Matriculants,Women,percent,2020-2021,53.6,A-7.2
Matriculants,Women,percent,2021-2022,55.5,A-7.2
Matriculants,Women,percent,2022-2023,55.6,A-7.2
Matriculants,Women,percent,2023-2024,55.4,A-7.2
Matriculants,Women,percent,2024-2025,55.1,A-7.2
Matriculants,Women,percent,2025-2026,55,A-7.2
Matriculants,Another Gender Identity,number,2016-2017,,A-7.2
Matriculants,Another Gender Identity,number,2017-2018,,A-7.2
Matriculants,Another Gender Identity,number,2018-2019,,A-7.2
Matriculants,Another Gender Identity,number,2019-2020,,A-7.2
Matriculants,Another Gender Identity,number,2020-2021,,A-7.2
Matriculants,Another Gender Identity,number,2021-2022,,A-7.2
Matriculants,Another Gender Identity,number,2022-2023,,A-7.2
Matriculants,Another Gender Identity,number,2023-2024,82,A-7.2
