source_table,population,academic_year,gender,metric,statistic,value
A-22,Matriculants,2021-2022,Men,GPA Total,Mean,3.73
A-22,Matriculants,2021-2022,Men,GPA Total,SD,0.25
A-22,Matriculants,2021-2022,Men,Total Matriculants,Count,10057.0
A-22,Matriculants,2021-2022,Women,MCAT CPBS,Mean,127.5
A-22,Matriculants,2021-2022,Women,MCAT CPBS,SD,2.1
A-22,Matriculants,2021-2022,Women,MCAT CARS,Mean,127.0
A-22,Matriculants,2021-2022,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2021-2022,Women,MCAT BBLS,Mean,127.9
A-22,Matriculants,2021-2022,Women,MCAT BBLS,SD,2.0
A-22,Matriculants,2021-2022,Women,MCAT PSBB,Mean,128.8
A-22,Matriculants,2021-2022,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2021-2022,Women,Total MCAT,Mean,511.2
A-22,Matriculants,2021-2022,Women,Total MCAT,SD,6.5
A-22,Matriculants,2021-2022,Women,GPA Science,Mean,3.66
A-22,Matriculants,2021-2022,Women,GPA Science,SD,0.32
A-22,Matriculants,2021-2022,Women,GPA Non-Science,Mean,3.85
A-22,Matriculants,2021-2022,Women,GPA Non-Science,SD,0.18
A-22,Matriculants,2021-2022,Women,GPA Total,Mean,3.74
A-22,Matriculants,2021-2022,Women,GPA Total,SD,0.24
A-22,Matriculants,2021-2022,Women,Total Matriculants,Count,12590.0
A-22,Matriculants,2021-2022,All,MCAT CPBS,Mean,127.9
A-22,Matriculants,2021-2022,All,MCAT CPBS,SD,2.2
A-22,Matriculants,2021-2022,All,MCAT CARS,Mean,127.0
A-22,Matriculants,2021-2022,All,MCAT CARS,SD,2.3
A-22,Matriculants,2021-2022,All,MCAT BBLS,Mean,128.2
A-22,Matriculants,2021-2022,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2021-2022,All,MCAT PSBB,Mean,128.8
A-22,Matriculants,2021-2022,All,MCAT PSBB,SD,2.0
A-22,Matriculants,2021-2022,All,Total MCAT,Mean,511.8
A-22,Matriculants,2021-2022,All,Total MCAT,SD,6.6
A-22,Matriculants,2021-2022,All,GPA Science,Mean,3.67
A-22,Matriculants,2021-2022,All,GPA Science,SD,0.31
A-22,Matriculants,2021-2022,All,GPA Non-Science,Mean,3.83
A-22,Matriculants,2021-2022,All,GPA Non-Science,SD,0.21
A-22,Matriculants,2021-2022,All,GPA Total,Mean,3.74
A-22,Matriculants,2021-2022,All,GPA Total,SD,0.25
A-22,Matriculants,2021-2022,All,Total Matriculants,Count,22647.0
A-22,Matriculants,2022-2023,Men,MCAT CPBS,Mean,128.3
A-22,Matriculants,2022-2023,Men,MCAT CPBS,SD,2.1
A-22,Matriculants,2022-2023,Men,MCAT CARS,Mean,126.9
A-22,Matriculants,2022-2023,Men,MCAT CARS,SD,2.3
