region,entity_name,entity_type,academic_year,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_matriculants,american_indian_or_alaska_native_ratio_percent,asian_applicants,asian_matriculants,asian_ratio_percent,black_or_african_american_applicants,black_or_african_american_matriculants,black_or_african_american_ratio_percent,hispanic_or_latino_applicants,hispanic_or_latino_matriculants,hispanic_or_latino_ratio_percent,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_matriculants,middle_eastern_or_north_african_ratio_percent,native_hawaiian_or_pacific_islander_applicants,native_hawaiian_or_pacific_islander_matriculants,native_hawaiian_or_pacific_islander_ratio_percent,white_applicants,white_matriculants,white_ratio_percent,some_other_race_or_ethnicity_applicants,some_other_race_or_ethnicity_matriculants,some_other_race_or_ethnicity_ratio_percent,multiple_race_or_ethnicity_applicants,multiple_race_or_ethnicity_matriculants,multiple_race_or_ethnicity_ratio_percent,unknown_race_or_ethnicity_applicants,unknown_race_or_ethnicity_matriculants,unknown_race_or_ethnicity_ratio_percent,total_applicants,total_matriculants,overall_applicant_to_matriculant_ratio_percent,applicant_us_citizen_and_permanent_resident,applicant_non_us_citizen_and_non_permanent_resident,matriculant_us_citizen_and_permanent_resident,matriculant_non_us_citizen_and_non_permanent_resident
South,Alabama,state_or_district,2025-2026,3,1,33.33,103,54,52.43,86,28,32.56,17,11,64.71,9,6,66.67,0,0,,303,141,46.53,0,0,,57,17,29.82,39,18,46.15,617,276,44.73,615,2,275,1
South,Arkansas,state_or_district,2025-2026,1,0,0.0,48,28,58.33,26,2,7.69,13,7,53.85,13,5,38.46,0,0,,181,106,58.56,1,0,0.0,41,21,51.22,15,10,66.67,339,179,52.8,338,1,179,0
South,Florida,state_or_district,2025-2026,1,1,100.0,594,239,40.24,452,122,26.99,706,259,36.69,138,41,29.71,1,0,0.0,945,340,35.98,24,3,12.5,688,233,33.87,163,45,27.61,3712,1283,34.56,3675,37,1280,3
South,Georgia,state_or_district,2025-2026,1,1,100.0,479,241,50.31,444,156,35.14,60,21,35.0,44,21,47.73,0,0,,535,286,53.46,8,2,25.0,162,72,44.44,105,52,49.52,1838,852,46.35,1821,17,844,8
South,Kentucky,state_or_district,2025-2026,0,0,,108,65,60.19,34,10,29.41,17,5,29.41,27,14,51.85,0,0,,349,190,54.44,1,0,0.0,51,31,60.78,32,17,53.12,619,332,53.63,613,6,331,1
South,Louisiana,state_or_district,2025-2026,6,2,33.33,91,49,53.85,117,37,31.62,18,5,27.78,18,8,44.44,0,0,,399,202,50.63,0,0,,84,51,60.71,26,13,50.0,759,367,48.35,753,6,365,2
South,Mississippi,state_or_district,2025-2026,0,0,,30,17,56.67,80,28,35.0,8,1,12.5,7,6,85.71,0,0,,198,126,63.64,0,0,,17,13,76.47,15,8,53.33,355,199,56.06,352,3,198,1
South,North Carolina,state_or_district,2025-2026,2,0,0.0,332,155,46.69,192,61,31.77,53,21,39.62,34,15,44.12,2,1,50.0,571,280,49.04,2,1,50.0,143,54,37.76,78,33,42.31,1409,621,44.07,1394,15,617,4
South,Oklahoma,state_or_district,2025-2026,9,5,55.56,74,21,28.38,25,5,20.0,14,5,35.71,15,3,20.0,0,0,,139,63,45.32,0,0,,82,23,28.05,10,4,40.0,368,129,35.05,362,6,129,0
South,Puerto Rico,state_or_district,2025-2026,0,0,,0,0,,0,0,,562,296,52.67,0,0,,0,0,,0,0,,0,0,,61,38,62.3,20,4,20.0,643,338,52.57,642,1,337,1
