undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of Illinois at Chicago, Chicago, IL",University of Illinois at Chicago,Chicago,IL,Middle Eastern or North African,49,279,17.56,1.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,17
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Middle Eastern or North African,48,459,10.46,1.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,18
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,Middle Eastern or North African,48,512,9.38,1.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,19
"Michigan State University, East Lansing, MI",Michigan State University,East Lansing,MI,Middle Eastern or North African,45,370,12.16,1.2,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,20
"University of Michigan-Dearborn, Dearborn, MI",University of Michigan-Dearborn,Dearborn,MI,Middle Eastern or North African,44,68,64.71,1.2,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,21
"University of Toronto, Toronto, ON",University of Toronto,Toronto,ON,Middle Eastern or North African,42,205,20.49,1.1,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,22
"University of California-Santa Barbara, Santa Barbara, CA",University of California-Santa Barbara,Santa Barbara,CA,Middle Eastern or North African,39,258,15.12,1.1,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,23
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,Middle Eastern or North African,37,430,8.6,1,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,24
"University of Washington, Seattle, WA",University of Washington,Seattle,WA,Middle Eastern or North African,35,495,7.07,1,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,25
"Oakland University, Rochester, MI",Oakland University,Rochester,MI,Middle Eastern or North African,34,91,37.36,0.9,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,26
"University of Southern California, Los Angeles, CA",University of Southern California,Los Angeles,CA,Middle Eastern or North African,30,338,8.88,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,27
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,Middle Eastern or North African,30,1072,2.8,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,28
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,Middle Eastern or North African,29,478,6.07,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,29
"George Mason University, Fairfax, VA",George Mason University,Fairfax,VA,Middle Eastern or North African,28,115,24.35,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,30
"McMaster University, Hamilton, ON",McMaster University,Hamilton,ON,Middle Eastern or North African,28,187,14.97,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,31
"University of Western Ontario, London, ON",University of Western Ontario,London,ON,Middle Eastern or North African,28,184,15.22,0.8,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,32
"University of Maryland-College Park, College Park, MD",University of Maryland-College Park,College Park,MD,Middle Eastern or North African,26,403,6.45,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,33
"Virginia Commonwealth University, Richmond, VA",Virginia Commonwealth University,Richmond,VA,Middle Eastern or North African,26,228,11.4,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,34
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Middle Eastern or North African,25,385,6.49,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,35
"The University of Texas at Dallas, Richardson, TX",The University of Texas at Dallas,Richardson,TX,Middle Eastern or North African,25,486,5.14,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,36
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,Middle Eastern or North African,25,528,4.73,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,37
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Middle Eastern or North African,24,167,14.37,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,38
