undergraduate_institution,institution_name,city,state_or_province,total_applicants,academic_year,source_table,source_file,source_excel_row
"Case Western Reserve University, Cleveland, OH",Case Western Reserve University,Cleveland,OH,295,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,52
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,289,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,53
"Northeastern University, Boston, MA",Northeastern University,Boston,MA,285,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,54
"University of Illinois at Chicago, Chicago, IL",University of Illinois at Chicago,Chicago,IL,279,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,55
"Penn State University Park, University Park, PA",Penn State University Park,University Park,PA,277,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,56
"Indiana University-Bloomington, Bloomington, IN",Indiana University-Bloomington,Bloomington,IN,272,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,57
"University of South Carolina Columbia, Columbia, SC",University of South Carolina Columbia,Columbia,SC,266,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,58
"University of California-Santa Barbara, Santa Barbara, CA",University of California-Santa Barbara,Santa Barbara,CA,258,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,59
"Harvard University, Cambridge, MA",Harvard University,Cambridge,MA,257,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,60
"Northwestern University-Evanston, Evanston, IL",Northwestern University-Evanston,Evanston,IL,253,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,61
"University of Kentucky, Lexington, KY",University of Kentucky,Lexington,KY,246,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,62
"University of Alabama at Birmingham, Birmingham, AL",University of Alabama at Birmingham,Birmingham,AL,245,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,63
"University of Connecticut, Storrs, CT",University of Connecticut,Storrs,CT,240,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,64
"Georgia Institute of Technology, Atlanta, GA",Georgia Institute of Technology,Atlanta,GA,239,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,65
"Wayne State University, Detroit, MI",Wayne State University,Detroit,MI,238,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,66
"Texas Tech University-Lubbock, Lubbock, TX",Texas Tech University-Lubbock,Lubbock,TX,234,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,67
"The University of Utah, Salt Lake City, UT",The University of Utah,Salt Lake City,UT,233,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,68
"Stanford University, Stanford, CA",Stanford University,Stanford,CA,228,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,69
"Virginia Commonwealth University, Richmond, VA",Virginia Commonwealth University,Richmond,VA,228,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,70
"The University of Alabama, Tuscaloosa, AL",The University of Alabama,Tuscaloosa,AL,225,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,71
"University of Oklahoma Norman Campus, Norman, OK",University of Oklahoma Norman Campus,Norman,OK,224,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,72
"Purdue University-Main Campus, West Lafayette, IN",Purdue University-Main Campus,West Lafayette,IN,218,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,73
"Rice University, Houston, TX",Rice University,Houston,TX,218,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,74
"State University of New York at Binghamton, Binghamton, NY",State University of New York at Binghamton,Binghamton,NY,211,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,75
"Clemson University, Clemson, SC",Clemson University,Clemson,SC,209,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,76
"Tulane University, New Orleans, LA",Tulane University,New Orleans,LA,206,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,77
"University of Toronto, Toronto, ON",University of Toronto,Toronto,ON,205,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,78
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,204,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,79
"University of Tennessee-Knoxville, Knoxville, TN",University of Tennessee-Knoxville,Knoxville,TN,204,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,80
"Loyola University Chicago, Chicago, IL",Loyola University Chicago,Chicago,IL,201,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,81
"Tufts University, Medford, MA",Tufts University,Medford,MA,200,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,82
"University of Iowa, Iowa City, IA",University of Iowa,Iowa City,IA,196,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,83
"University of Missouri-Columbia, Columbia, MO",University of Missouri-Columbia,Columbia,MO,194,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,84
"Georgetown University, Washington, DC",Georgetown University,Washington,DC,189,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,85
"Yale University, New Haven, CT",Yale University,New Haven,CT,189,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,86
"Wake Forest University, Winston-Salem, NC",Wake Forest University,Winston-Salem,NC,188,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,87
"McMaster University, Hamilton, ON",McMaster University,Hamilton,ON,187,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,88
"University of Chicago, Chicago, IL",University of Chicago,Chicago,IL,186,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,89
"University of Western Ontario, London, ON",University of Western Ontario,London,ON,184,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,90
"University of Kansas Main Campus, Lawrence, KS",University of Kansas Main Campus,Lawrence,KS,181,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,91
"Saint Louis University, St. Louis, MO",Saint Louis University,St. Louis,MO,179,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,92
"Boston College, Chestnut Hill, MA",Boston College,Chestnut Hill,MA,177,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,93
"University of Cincinnati Main Campus, Cincinnati, OH",University of Cincinnati Main Campus,Cincinnati,OH,175,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,94
"University of Colorado at Boulder, Boulder, CO",University of Colorado at Boulder,Boulder,CO,172,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,95
"College of William & Mary, Williamsburg, VA",College of William & Mary,Williamsburg,VA,169,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,96
"Florida Atlantic University-Boca Raton, Boca Raton, FL",Florida Atlantic University-Boca Raton,Boca Raton,FL,169,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,97
"Virginia Polytechnic Institute and State University, Blacksburg, VA",Virginia Polytechnic Institute and State University,Blacksburg,VA,169,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,98
"University at Buffalo-SUNY, Buffalo, NY",University at Buffalo-SUNY,Buffalo,NY,168,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,99
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,167,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,100
"University of Massachusetts-Amherst, Amherst, MA",University of Massachusetts-Amherst,Amherst,MA,167,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,101
"Auburn University, Auburn, AL",Auburn University,Auburn,AL,161,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,102
"North Carolina State University, Raleigh, NC",North Carolina State University,Raleigh,NC,160,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,103
"University of Puerto Rico-Rio Piedras Campus, San Juan, PR",University of Puerto Rico-Rio Piedras Campus,San Juan,PR,159,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,104
"University of Arkansas Main Campus, Fayetteville, AR",University of Arkansas Main Campus,Fayetteville,AR,157,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,105
"Georgia State University, Atlanta, GA",Georgia State University,Atlanta,GA,155,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,106
"University of Rochester, Rochester, NY",University of Rochester,Rochester,NY,151,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,107
"Princeton University, Princeton, NJ",Princeton University,Princeton,NJ,150,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,108
"Temple University, Philadelphia, PA",Temple University,Philadelphia,PA,150,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,109
"George Washington University, Washington, DC",George Washington University,Washington,DC,147,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,110
"The University of Texas at San Antonio, San Antonio, TX",The University of Texas at San Antonio,San Antonio,TX,144,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,111
"University of Mississippi, University, MS",University of Mississippi,University,MS,144,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,112
"Miami University, Oxford, OH",Miami University,Oxford,OH,140,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,113
"University of Maryland-Baltimore County, Baltimore, MD",University of Maryland-Baltimore County,Baltimore,MD,140,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,114
"Dartmouth College, Hanover, NH",Dartmouth College,Hanover,NH,139,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,115
"University of California-Santa Cruz, Santa Cruz, CA",University of California-Santa Cruz,Santa Cruz,CA,139,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,116
"Nova Southeastern University, Fort Lauderdale, FL",Nova Southeastern University,Fort Lauderdale,FL,137,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,117
"University of Nebraska - Lincoln, Lincoln, NE",University of Nebraska - Lincoln,Lincoln,NE,135,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,118
"Howard University, Washington, DC",Howard University,Washington,DC,133,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,119
"University of North Texas, Denton, TX",University of North Texas,Denton,TX,130,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,120
"University of New Mexico-Main Campus, Albuquerque, NM",University of New Mexico-Main Campus,Albuquerque,NM,129,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,121
"University of Nevada-Reno, Reno, NV",University of Nevada-Reno,Reno,NV,128,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,122
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",University of Puerto Rico-Mayaguez Campus,Mayaguez,PR,123,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,123
"Creighton University, Omaha, NE",Creighton University,Omaha,NE,117,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,124
"George Mason University, Fairfax, VA",George Mason University,Fairfax,VA,115,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,125
"University of Oregon, Eugene, OR",University of Oregon,Eugene,OR,114,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,126
"West Virginia University, Morgantown, WV",West Virginia University,Morgantown,WV,111,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,127
"Drexel University, Philadelphia, PA",Drexel University,Philadelphia,PA,106,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,128
"University of British Columbia, Vancouver, BC",University of British Columbia,Vancouver,BC,105,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,129
"University of Delaware, Newark, DE",University of Delaware,Newark,DE,104,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,130
"University of Louisville, Louisville, KY",University of Louisville,Louisville,KY,104,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,131
"Xavier University of Louisiana, New Orleans, LA",Xavier University of Louisiana,New Orleans,LA,102,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,132
"University of Nevada-Las Vegas, Las Vegas, NV",University of Nevada-Las Vegas,Las Vegas,NV,100,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,133
"McGill University, Montreal, QC",McGill University,Montreal,QC,99,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,134
"Mississippi State University, Mississippi State, MS",Mississippi State University,Mississippi State,MS,99,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,135
"Colorado State University, Fort Collins, CO",Colorado State University,Fort Collins,CO,96,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,136
"The University of Texas Rio Grande Valley, Edinburg, TX",The University of Texas Rio Grande Valley,Edinburg,TX,96,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,137
"Oakland University, Rochester, MI",Oakland University,Rochester,MI,91,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,138
"Villanova University, Villanova, PA",Villanova University,Villanova,PA,91,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,139
"Brandeis University, Waltham, MA",Brandeis University,Waltham,MA,89,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,140
"Oregon State University, Corvallis, OR",Oregon State University,Corvallis,OR,89,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,141
"San Diego State University, San Diego, CA",San Diego State University,San Diego,CA,87,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,142
"Texas Christian University, Fort Worth, TX",Texas Christian University,Fort Worth,TX,86,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,143
"Utah State University, Logan, UT",Utah State University,Logan,UT,86,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,144
"East Carolina University, Greenville, NC",East Carolina University,Greenville,NC,83,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,145
"The University of Texas at Arlington, Arlington, TX",The University of Texas at Arlington,Arlington,TX,83,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,146
"Barnard College, New York, NY",Barnard College,New York,NY,81,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,147
"University of Hawaii at Manoa, Honolulu, HI",University of Hawaii at Manoa,Honolulu,HI,81,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,148
"University at Albany, SUNY, Albany, NY","University at Albany, SUNY",Albany,NY,79,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,149
"Marquette University, Milwaukee, WI",Marquette University,Milwaukee,WI,77,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,150
"Queen's University at Kingston, Kingston, ON",Queen's University at Kingston,Kingston,ON,77,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,151
"Syracuse University, Syracuse, NY",Syracuse University,Syracuse,NY,77,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,152
"Mercer University, Macon, GA",Mercer University,Macon,GA,76,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,153
"Montana State University-Bozeman, Bozeman, MT",Montana State University-Bozeman,Bozeman,MT,76,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,154
"University of North Carolina at Charlotte, Charlotte, NC",University of North Carolina at Charlotte,Charlotte,NC,75,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,155
"California Polytechnic State University-San Luis Obispo, San Luis Obispo, CA",California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,74,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,156
"Fordham University, Bronx, NY",Fordham University,Bronx,NY,74,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,157
"University of Vermont, Burlington, VT",University of Vermont,Burlington,VT,74,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,158
"St. John's University, Queens, NY",St. John's University,Queens,NY,73,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,159
"Texas State University-San Marcos, San Marcos, TX",Texas State University-San Marcos,San Marcos,TX,73,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,160
"University of Toledo, Toledo, OH",University of Toledo,Toledo,OH,73,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,161
"Washington State University, Pullman, WA",Washington State University,Pullman,WA,73,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,162
"Indiana University Indianapolis, Indianapolis, IN",Indiana University Indianapolis,Indianapolis,IN,72,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,163
"Rhodes College, Memphis, TN",Rhodes College,Memphis,TN,72,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,164
"Southern Methodist University, Dallas, TX",Southern Methodist University,Dallas,TX,71,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,165
"Spelman College, Atlanta, GA",Spelman College,Atlanta,GA,70,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,166
"Augusta University, Augusta, GA",Augusta University,Augusta,GA,68,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,167
"University of Michigan-Dearborn, Dearborn, MI",University of Michigan-Dearborn,Dearborn,MI,68,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,168
"California State University-Long Beach, Long Beach, CA",California State University-Long Beach,Long Beach,CA,67,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,169
"Kennesaw State University, Kennesaw, GA",Kennesaw State University,Kennesaw,GA,67,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,170
"Massachusetts Institute of Technology, Cambridge, MA",Massachusetts Institute of Technology,Cambridge,MA,67,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,171
"Iowa State University, Ames, IA",Iowa State University,Ames,IA,66,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,172
"Oklahoma State University, Stillwater, OK",Oklahoma State University,Stillwater,OK,65,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,173
"Hofstra University, Hempstead, NY",Hofstra University,Hempstead,NY,64,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,174
"Kansas State University, Manhattan, KS",Kansas State University,Manhattan,KS,64,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,175
"Carnegie Mellon University, Pittsburgh, PA",Carnegie Mellon University,Pittsburgh,PA,62,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,176
"City University of New York Brooklyn College, Brooklyn, NY",City University of New York Brooklyn College,Brooklyn,NY,62,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,177
"Grand Valley State University, Allendale, MI",Grand Valley State University,Allendale,MI,62,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,178
"Middlebury College, Middlebury, VT",Middlebury College,Middlebury,VT,62,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,179
"University of Colorado Denver Anschutz Medical Campus, Aurora, CO",University of Colorado Denver Anschutz Medical Campus,Aurora,CO,61,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,180
"University of Texas at El Paso, El Paso, TX",University of Texas at El Paso,El Paso,TX,61,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,181
"Amherst College, Amherst, MA",Amherst College,Amherst,MA,60,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,182
"California State University-Northridge, Northridge, CA",California State University-Northridge,Northridge,CA,60,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,183
"College of Charleston, Charleston, SC",College of Charleston,Charleston,SC,60,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,184
"Davidson College, Davidson, NC",Davidson College,Davidson,NC,59,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,185
"University of San Diego, San Diego, CA",University of San Diego,San Diego,CA,59,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,186
"Wesleyan University, Middletown, CT",Wesleyan University,Middletown,CT,59,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,187
"Southern Adventist University, Collegedale, TN",Southern Adventist University,Collegedale,TN,58,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,188
"University of Missouri-Kansas City, Kansas City, MO",University of Missouri-Kansas City,Kansas City,MO,57,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,189
"Colgate University, Hamilton, NY",Colgate University,Hamilton,NY,56,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,190
"The College Of New Jersey, Ewing, NJ",The College Of New Jersey,Ewing,NJ,56,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,191
"Gonzaga University, Spokane, WA",Gonzaga University,Spokane,WA,55,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,192
"Wellesley College, Wellesley, MA",Wellesley College,Wellesley,MA,55,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,193
"Bowdoin College, Brunswick, ME",Bowdoin College,Brunswick,ME,54,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,194
"Trinity University, San Antonio, TX",Trinity University,San Antonio,TX,54,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,195
"University of North Dakota, Grand Forks, ND",University of North Dakota,Grand Forks,ND,54,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,196
"Brigham Young University-Idaho, Rexburg, ID",Brigham Young University-Idaho,Rexburg,ID,53,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,197
"DePaul University, Chicago, IL",DePaul University,Chicago,IL,52,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,198
"Rowan University, Glassboro, NJ",Rowan University,Glassboro,NJ,52,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,199
"Rutgers University - Newark, Newark, NJ",Rutgers University - Newark,Newark,NJ,52,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,200
"University of California-Merced, Merced, CA",University of California-Merced,Merced,CA,52,2025-2026,A-2,2025_FACTS_Table_A-2.xlsx,201
