undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of Virginia, Charlottesville, VA",University of Virginia,Charlottesville,VA,White,235,478,49.16,1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,16
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,White,230,459,50.11,1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,17
"University of Notre Dame, Notre Dame, IN",University of Notre Dame,Notre Dame,IN,White,225,314,71.66,0.9,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,18
"Baylor University, Waco, TX",Baylor University,Waco,TX,White,224,423,52.96,0.9,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,19
"University of North Carolina at Chapel Hill, Chapel Hill, NC",University of North Carolina at Chapel Hill,Chapel Hill,NC,White,218,504,43.25,0.9,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,20
"University of Arizona, Tucson, AZ",University of Arizona,Tucson,AZ,White,213,386,55.18,0.9,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,21
"Florida State University, Tallahassee, FL",Florida State University,Tallahassee,FL,White,202,357,56.58,0.8,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,22
"Michigan State University, East Lansing, MI",Michigan State University,East Lansing,MI,White,199,370,53.78,0.8,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,23
"University of Minnesota, Minneapolis, MN",University of Minnesota,Minneapolis,MN,White,192,368,52.17,0.8,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,24
"University of South Carolina Columbia, Columbia, SC",University of South Carolina Columbia,Columbia,SC,White,183,266,68.8,0.8,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,25
"University of Washington, Seattle, WA",University of Washington,Seattle,WA,White,176,495,35.56,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,26
"The University of Alabama, Tuscaloosa, AL",The University of Alabama,Tuscaloosa,AL,White,175,225,77.78,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,27
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,White,175,512,34.18,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,28
"Indiana University-Bloomington, Bloomington, IN",Indiana University-Bloomington,Bloomington,IN,White,168,272,61.76,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,29
"The University of Utah, Salt Lake City, UT",The University of Utah,Salt Lake City,UT,White,168,233,72.1,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,30
"University of Kentucky, Lexington, KY",University of Kentucky,Lexington,KY,White,167,246,67.89,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,31
"Clemson University, Clemson, SC",Clemson University,Clemson,SC,White,161,209,77.03,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,32
"University of Pittsburgh, Pittsburgh, PA",University of Pittsburgh,Pittsburgh,PA,White,160,415,38.55,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,33
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,White,157,739,21.24,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,34
"Washington University in St. Louis, St. Louis, MO",Washington University in St. Louis,St. Louis,MO,White,151,389,38.82,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,35
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,White,149,689,21.63,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,36
"University of Missouri-Columbia, Columbia, MO",University of Missouri-Columbia,Columbia,MO,White,142,194,73.2,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,37
"Auburn University, Auburn, AL",Auburn University,Auburn,AL,White,139,161,86.34,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,38
"University of Iowa, Iowa City, IA",University of Iowa,Iowa City,IA,White,139,196,70.92,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,39
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,White,137,385,35.58,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,40
"Penn State University Park, University Park, PA",Penn State University Park,University Park,PA,White,137,277,49.46,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,41
"Texas Tech University-Lubbock, Lubbock, TX",Texas Tech University-Lubbock,Lubbock,TX,White,137,234,58.55,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,42
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,White,129,289,44.64,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,43
"University of Illinois at Urbana-Champaign, Champaign, IL",University of Illinois at Urbana-Champaign,Champaign,IL,White,128,362,35.36,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,44
"Tulane University, New Orleans, LA",Tulane University,New Orleans,LA,White,127,206,61.65,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,45
"Vanderbilt University, Nashville, TN",Vanderbilt University,Nashville,TN,White,127,319,39.81,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,46
"Wake Forest University, Winston-Salem, NC",Wake Forest University,Winston-Salem,NC,White,126,188,67.02,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,47
"University of Tennessee-Knoxville, Knoxville, TN",University of Tennessee-Knoxville,Knoxville,TN,White,125,204,61.27,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,48
"Northeastern University, Boston, MA",Northeastern University,Boston,MA,White,124,285,43.51,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,49
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,White,123,430,28.6,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,50
"University of Maryland-College Park, College Park, MD",University of Maryland-College Park,College Park,MD,White,122,403,30.27,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,51
"Duke University, Durham, NC",Duke University,Durham,NC,White,120,314,38.22,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,52
"University of Colorado at Boulder, Boulder, CO",University of Colorado at Boulder,Boulder,CO,White,119,172,69.19,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,53
"University of Oklahoma Norman Campus, Norman, OK",University of Oklahoma Norman Campus,Norman,OK,White,118,224,52.68,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,54
"State University of New York at Binghamton, Binghamton, NY",State University of New York at Binghamton,Binghamton,NY,White,117,211,55.45,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,55
"Boston University, Boston, MA",Boston University,Boston,MA,White,115,331,34.74,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,56
"Purdue University-Main Campus, West Lafayette, IN",Purdue University-Main Campus,West Lafayette,IN,White,115,218,52.75,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,57
"University of California-Santa Barbara, Santa Barbara, CA",University of California-Santa Barbara,Santa Barbara,CA,White,114,258,44.19,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,58
"University of Arkansas Main Campus, Fayetteville, AR",University of Arkansas Main Campus,Fayetteville,AR,White,113,157,71.97,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,59
"Tufts University, Medford, MA",Tufts University,Medford,MA,White,111,200,55.5,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,60
"Boston College, Chestnut Hill, MA",Boston College,Chestnut Hill,MA,White,110,177,62.15,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,61
"Brown University, Providence, RI",Brown University,Providence,RI,White,110,320,34.38,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,62
"Miami University, Oxford, OH",Miami University,Oxford,OH,White,110,140,78.57,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,63
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,White,109,495,22.02,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,64
"University of Mississippi, University, MS",University of Mississippi,University,MS,White,109,144,75.69,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,65
"Johns Hopkins University, Baltimore, MD",Johns Hopkins University,Baltimore,MD,White,108,470,22.98,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,66
"Emory University, Atlanta, GA",Emory University,Atlanta,GA,White,106,411,25.79,0.4,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,67
"University of Connecticut, Storrs, CT",University of Connecticut,Storrs,CT,White,105,240,43.75,0.4,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,68
"University of Kansas Main Campus, Lawrence, KS",University of Kansas Main Campus,Lawrence,KS,White,105,181,58.01,0.4,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,69
"University of Pennsylvania, Philadelphia, PA",University of Pennsylvania,Philadelphia,PA,White,101,368,27.45,0.4,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,70
