indicator_group,indicator_name,indicator_short_name,indicator_structure,application_stage,academic_year,count,percent_of_total,total_people,source_table
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2023-2024,4897,21.3,22980,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2023-2024,15647,68.1,22980,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2023-2024,2436,10.6,22980,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2024-2025,4794,20.7,23156,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2024-2025,15978,69,23156,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2024-2025,2384,10.3,23156,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Matriculants,2025-2026,4606,19.7,23440,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Matriculants,2025-2026,16212,69.2,23440,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Matriculants,2025-2026,2622,11.2,23440,A-24
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2018-2019,150,0.3,52777,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2019-2020,134,0.3,53368,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2020-2021,148,0.3,53030,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2021-2022,208,0.3,62443,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2022-2023,159,0.3,55189,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2023-2024,144,0.3,52577,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2024-2025,107,0.2,51946,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Applicants,2025-2026,73,0.1,54699,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2018-2019,43,0.2,22483,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2019-2020,38,0.2,22687,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2020-2021,50,0.2,23105,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2021-2022,71,0.3,23711,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2022-2023,55,0.2,23810,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2023-2024,53,0.2,24014,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2024-2025,44,0.2,24172,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Acceptees,2025-2026,22,0.1,24300,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2018-2019,42,0.2,21622,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2019-2020,36,0.2,21869,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2020-2021,46,0.2,22239,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2021-2022,65,0.3,22666,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2022-2023,53,0.2,22710,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2023-2024,52,0.2,22980,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2024-2025,41,0.2,23156,A-25
Immigration and Access,DACA Status,DACA Status,binary_status_indicator,Matriculants,2025-2026,20,0.1,23440,A-25
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2020-2021,7421,14,53030,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2021-2022,9616,15.4,62443,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2022-2023,7712,14,55189,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2023-2024,7260,13.8,52577,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2024-2025,7146,13.8,51946,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Applicants,2025-2026,7530,13.8,54699,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2020-2021,2647,11.5,23105,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2021-2022,2928,12.3,23711,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2022-2023,2667,11.2,23810,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2023-2024,2720,11.3,24014,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2024-2025,2669,11,24172,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Acceptees,2025-2026,2615,10.8,24300,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2020-2021,2545,11.4,22239,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2021-2022,2804,12.4,22666,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2022-2023,2543,11.2,22710,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2023-2024,2606,11.3,22980,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2024-2025,2545,11,23156,A-26
Socioeconomic and Educational Access,First Generation College Student,First Generation College Student,binary_status_indicator,Matriculants,2025-2026,2498,10.7,23440,A-26
